prefcode,n03_007,cityname,building_count,building_types,avg_height,max_height,avg_levels,max_levels,total_building_area_ha,avg_building_area_ha,max_building_area_ha,height_count,levels_count,min_height_count,underground_count,ele_count,date_count,source_count,name_count,editor_count,prefecture_area_ha,building_coverage_percent
13,13808,板橋区,1629573,34,32.71,103.0,5.85,32.0,28220.6587,0.0173,1.9955,1035,16353,0,69,207,1587,103224,41469,132,22553.0,125.13
27,27383,豊中市,1623528,36,11.58,184.92,5.82,52.0,30259.2205,0.0186,1.8627,5256,17856,0,0,5112,1440,111312,66240,192,10963.0,276.01
27,27383,大阪市鶴見区,1614240,26,4.34,35.1,4.11,15.0,17365.0134,0.0108,3.3098,5400,29520,0,0,5400,0,76536,23544,44,10963.0,158.4
27,27383,泉大津市,1607472,18,13.3,24.6,3.49,36.0,23075.9222,0.0144,3.9451,288,12024,0,0,432,72,20232,14112,47,10963.0,210.49
34,34545,東広島市,1594590,34,5.16,9.0,3.55,15.0,24177.3559,0.0152,2.7677,540,12270,210,0,90,60,60690,12210,165,124649.0,19.4
14,14402,横浜市中区,1593782,37,48.51,220.0,3.12,59.0,26035.331,0.0163,4.6896,4234,87812,232,116,0,116,1489962,36540,120,25393.0,102.53
22,22461,伊東市,1590484,22,1.0,1.0,1.12,11.0,16889.9162,0.0106,0.9858,43,61361,0,0,0,0,15480,7052,48,107405.0,15.73
2,02450,むつ市,1590040,11,,,6.5,11.0,17519.747,0.011,2.1968,0,80,0,0,0,0,1464280,2920,38,86420.0,20.27
27,27383,羽曳野市,1583424,21,,,1.9,20.0,13921.0195,0.0088,2.0107,0,3600,0,0,0,0,79056,14544,52,10963.0,126.98
28,28586,宝塚市,1580152,38,,,3.5,30.0,19093.4089,0.0121,4.3842,0,19992,0,49,0,98,35672,26509,66,69755.0,27.37
27,27383,大阪市住之江区,1579752,29,7.46,256.0,2.38,55.0,33538.0694,0.0212,3.8198,667080,532800,0,0,666936,0,721656,9072,60,10963.0,305.92
23,23801,一宮市,1568700,23,12.67,16.0,2.67,21.0,24032.7721,0.0153,3.6499,210,31430,0,0,0,0,1230950,28490,79,91832.0,26.17
1,01700,士幌町,1563834,15,,,1.71,3.0,46655.7669,0.0298,2.607,0,1358,0,0,0,0,299148,6208,18,147751.0,31.58
1,01700,本別町,1551612,8,,,1.0,1.0,23779.3318,0.0153,0.8633,0,194,0,0,0,194,3298,8730,14,147751.0,16.09
1,01700,洞爺湖町,1550836,12,,,1.11,2.0,21742.2386,0.014,1.0548,0,6984,0,0,0,0,72944,10476,26,147751.0,14.72
38,38506,今治市,1549640,29,3.0,3.0,2.85,8.0,23340.5394,0.0151,3.965,20,1180,0,0,0,40,7500,18500,73,58369.0,39.99
1,01700,松前町,1549284,7,,,2.0,2.0,15411.6258,0.0099,0.386,0,194,0,0,0,194,17460,10282,21,147751.0,10.43
27,27383,大阪市西淀川区,1545840,22,8.42,43.0,3.86,15.0,23818.7909,0.0154,3.7558,26064,33480,0,0,72,504,282528,29088,46,10963.0,217.27
27,27383,大阪市東成区,1545696,22,7.36,50.1,2.31,15.0,14365.0104,0.0093,0.4169,437328,367488,0,0,437256,0,1191528,43272,49,10963.0,131.03
4,04606,仙台市若林区,1523769,28,6.98,78.72,2.07,30.0,21359.3923,0.014,2.4951,585,562263,0,0,39,858,81471,174876,104,80500.0,26.53
11,11465,鶴ヶ島市,1522728,22,,,4.54,10.0,18103.9255,0.0119,2.5722,0,1728,0,0,0,0,16560,3240,28,57789.0,31.33
28,28586,神戸市長田区,1520862,19,,,3.69,27.0,13368.5736,0.0088,2.7612,0,6125,0,0,0,0,15386,6321,30,69755.0,19.17
11,11465,さいたま市見沼区,1518264,32,2.0,2.0,2.51,15.0,18400.5994,0.0121,0.9388,360,234000,0,0,0,0,15624,100656,45,57789.0,31.84
1,01700,白糠町,1516886,10,,,2.25,4.0,20830.5413,0.0137,0.9425,0,2328,0,0,0,194,1472654,8536,20,147751.0,14.1
1,01700,大樹町,1512424,7,,,,,29985.8991,0.0198,1.7274,0,0,0,0,0,0,39576,5820,15,147751.0,20.29
26,26465,京都市中京区,1489464,31,20.97,31.0,4.26,15.0,10711.2248,0.0072,0.8884,396,22068,0,216,0,504,118008,25956,148,61640.0,17.38
4,04606,気仙沼市,1484379,26,,,2.57,13.0,21235.4452,0.0143,2.2198,0,4524,0,0,0,273,15288,11076,203,80500.0,26.38
26,26465,京都市西京区,1483560,29,5.24,10.0,2.32,7.0,13392.5841,0.009,6.8544,900,18612,0,0,36,0,74808,14472,89,61640.0,21.73
11,11465,熊谷市,1480176,28,3.0,3.0,2.4,14.0,24472.6826,0.0165,28.5066,72,21888,0,0,216,0,602568,48456,220,57789.0,42.35
1,01700,羽幌町,1475952,9,,,,,16905.653,0.0115,0.6201,0,0,0,0,0,0,132890,12804,30,147751.0,11.44
11,11465,寄居町,1474632,25,,,2.33,3.0,18622.3328,0.0126,9.2579,0,216,0,0,0,72,1410480,3888,18,57789.0,32.22
11,11465,新座市,1473984,21,6.56,44.8,3.58,13.0,15983.5778,0.0108,1.2334,576000,3744,0,72,575928,216,133776,5328,53,57789.0,27.66
1,01700,三笠市,1465864,8,,,1.0,1.0,18688.3327,0.0127,2.811,0,388,0,0,0,0,1552,12416,21,147751.0,12.65
1,01700,弟子屈町,1451508,13,,,1.17,2.0,23403.8296,0.0161,0.6436,0,1164,0,0,0,0,705966,10476,24,147751.0,15.84
28,28586,神戸市西区,1446627,26,5.84,23.4,2.09,4.0,23310.4036,0.0161,2.5291,125342,3626,0,0,125293,49,167384,8820,59,69755.0,33.42
1,01700,標茶町,1443360,10,,,1.5,2.0,31276.1929,0.0217,0.8616,0,776,0,0,0,0,802190,3492,14,147751.0,21.17
1,01700,池田町,1439868,7,,,4.0,4.0,20716.5851,0.0144,0.4832,0,194,0,194,0,0,888908,2134,15,147751.0,14.02
22,22461,浜松市浜北区,1432072,18,,,1.11,2.0,19654.2579,0.0137,4.5685,0,387,0,0,0,0,2150,12814,44,107405.0,18.3
1,01700,由仁町,1430944,9,,,1.33,2.0,19281.1542,0.0135,0.5861,0,1164,0,0,0,0,1358,9506,20,147751.0,13.05
1,01700,鷹栖町,1428810,7,,,,,18122.6834,0.0127,0.6629,0,0,0,0,0,194,1425706,1358,14,147751.0,12.27
7,07564,南相馬市,1422372,27,,,2.18,4.0,22304.8118,0.0157,1.9026,0,649,0,0,0,0,909957,50150,129,123184.0,18.11
39,39428,高知市,1421438,36,27.8,27.8,2.6,14.0,18659.4639,0.0131,3.497,34,4998,0,0,0,68,12172,33286,84,64228.0,29.05
1,01700,上富良野町,1416200,7,,,,,18277.4378,0.0129,1.921,0,0,0,0,0,0,1335302,3104,17,147751.0,12.37
22,22461,浜松市北区,1410056,22,,,1.48,4.0,23022.3316,0.0163,3.7156,0,989,0,0,0,86,14835,38743,45,107405.0,21.44
1,01700,新冠町,1409216,29,,,1.38,3.0,20865.1937,0.0148,1.3741,0,63632,0,0,194,0,182554,14356,19,147751.0,14.12
23,23801,北名古屋市,1407350,23,7.2,11.2,1.96,4.0,15506.2659,0.011,2.5565,2310,1890,0,0,2310,0,223230,6160,29,91832.0,16.89
1,01700,新十津川町,1400680,6,,,1.0,1.0,16339.9317,0.0117,0.666,0,194,0,0,0,0,1164,4462,10,147751.0,11.06
12,12801,鴨川市,1395540,29,1.0,1.0,1.68,33.0,16665.9018,0.0119,1.1743,60,36360,0,120,0,0,40800,16320,164,36816.0,45.27
1,01700,佐呂間町,1388846,18,,,1.11,2.0,25215.2255,0.0182,0.7335,0,3686,0,0,194,0,1381280,17460,11,147751.0,17.07
1,01700,広尾町,1388652,5,,,1.5,2.0,21710.1768,0.0156,2.1764,0,388,0,0,0,0,1131020,3686,14,147751.0,14.69
